Employee_ID,Job_Title,Gender,Age,Education_Level,Years_of_Experience,Years_of_Tenure,Salary
Software Engineer_1,Software Engineer,Female,28,Bachelor's,3,1,"$4,273.58"
Software Engineer_2,Software Engineer,Male,28,Bachelor's,5,5,"$4,435.37"
Software Engineer_3,Software Engineer,Male,26,Bachelor's,3,2,"$4,241.49"
Software Engineer_4,Software Engineer,Male,27,Diploma,4,4,"$4,256.54"
Software Engineer_5,Software Engineer,Female,20,Diploma,0,0,"$3,960.82"
Software Engineer_6,Software Engineer,Male,28,Bachelor's,1,0,"$4,070.25"
Software Engineer_7,Software Engineer,Female,28,Bachelor's,0,0,"$3,730.60"
Software Engineer_8,Software Engineer,Female,24,Diploma,1,1,"$4,121.57"
Software Engineer_9,Software Engineer,Female,27,Bachelor's,5,0,"$4,421.86"
Software Engineer_10,Software Engineer,Female,25,Diploma,2,2,"$3,834.65"
Software Engineer_11,Software Engineer,Female,24,Diploma,3,1,"$3,139.09"
Software Engineer_12,Software Engineer,Female,26,Bachelor's,3,0,"$4,000.95"
Software Engineer_13,Software Engineer,Female,29,Bachelor's,3,3,"$4,215.11"
Software Engineer_14,Software Engineer,Female,24,Bachelor's,2,1,"$4,156.26"
Software Engineer_15,Software Engineer,Female,29,Diploma,1,0,"$3,923.32"
Software Engineer_16,Software Engineer,Female,28,Bachelor's,5,3,"$4,464.65"
Software Engineer_17,Software Engineer,Male,29,Master's,2,0,"$4,467.97"
Software Engineer_18,Software Engineer,Male,28,Bachelor's,3,1,"$4,241.02"
Software Engineer_19,Software Engineer,Female,25,Bachelor's,3,3,"$4,345.48"
Software Engineer_20,Software Engineer,Female,24,Bachelor's,0,0,"$3,755.60"
Software Engineer_21,Software Engineer,Male,27,Bachelor's,5,0,"$4,518.82"
Software Engineer_22,Software Engineer,Male,30,Bachelor's,0,0,"$4,112.53"
Software Engineer_23,Software Engineer,Female,27,Master's,2,0,"$4,437.57"
Software Engineer_24,Software Engineer,Female,25,Diploma,0,0,"$3,751.70"
Software Engineer_25,Software Engineer,Male,30,Master's,4,4,"$4,160.50"
Software Engineer_26,Software Engineer,Female,30,Bachelor's,2,0,"$3,957.63"
Software Engineer_27,Software Engineer,Female,28,Diploma,4,2,"$4,021.47"
Software Engineer_28,Software Engineer,Male,27,Bachelor's,5,1,"$4,521.21"
Software Engineer_29,Software Engineer,Male,30,Bachelor's,5,2,"$4,572.47"
Software Engineer_30,Software Engineer,Female,25,Master's,0,0,"$4,013.88"
Software Engineer_31,Software Engineer,Male,26,Diploma,5,2,"$3,868.98"
Software Engineer_32,Software Engineer,Male,26,Diploma,0,0,"$4,096.31"
Software Engineer_33,Software Engineer,Female,29,Bachelor's,1,1,"$4,248.38"
Software Engineer_34,Software Engineer,Male,28,Diploma,1,1,"$3,812.60"
Software Engineer_35,Software Engineer,Male,29,Master's,5,2,"$4,472.53"
Software Engineer_36,Software Engineer,Female,30,Bachelor's,4,3,"$4,372.72"
Software Engineer_37,Software Engineer,Male,27,Bachelor's,1,0,"$4,078.24"
Software Engineer_38,Software Engineer,Male,28,Bachelor's,5,5,"$4,684.95"
Software Engineer_39,Software Engineer,Male,28,Diploma,0,0,"$4,039.75"
Software Engineer_40,Software Engineer,Female,27,Bachelor's,3,3,"$3,881.25"
Software Engineer_41,Software Engineer,Male,27,Diploma,4,3,"$3,969.28"
Software Engineer_42,Software Engineer,Female,26,Diploma,1,1,"$3,970.60"
Software Engineer_43,Software Engineer,Female,26,Diploma,5,4,"$3,760.56"
Software Engineer_44,Software Engineer,Female,25,Bachelor's,2,0,"$4,121.49"
Software Engineer_45,Software Engineer,Female,29,Diploma,3,2,"$4,030.29"
Software Engineer_46,Software Engineer,Female,29,Diploma,0,0,"$3,771.31"
Software Engineer_47,Software Engineer,Male,27,Bachelor's,3,2,"$3,985.32"
Software Engineer_48,Software Engineer,Male,25,Diploma,3,2,"$3,645.59"
Software Engineer_49,Software Engineer,Female,30,Bachelor's,4,2,"$3,900.80"
Software Engineer_50,Software Engineer,Female,28,Bachelor's,1,1,"$3,823.91"
Software Engineer_51,Software Engineer,Male,27,Bachelor's,1,0,"$3,679.56"
Software Engineer_52,Software Engineer,Male,25,Bachelor's,2,1,"$3,825.04"
Software Engineer_53,Software Engineer,Female,27,Bachelor's,4,0,"$4,109.74"
Software Engineer_54,Software Engineer,Male,28,Bachelor's,5,4,"$4,806.35"
Software Engineer_55,Software Engineer,Male,29,Bachelor's,4,1,"$3,850.13"
Software Engineer_56,Software Engineer,Male,25,Bachelor's,1,1,"$3,829.39"
