Employee_ID,Job_Title,Gender,Age,Education_Level,Years_of_Experience,Years_of_Tenure,Salary
Data Scientist_6,Data Scientist,Female,29,Master's,4,3,"$10,940.44"
Data Scientist_47,Data Scientist,Male,27,Bachelor's,5,3,"$10,795.52"
Data Scientist_30,Data Scientist,Male,30,Bachelor's,3,3,"$10,537.23"
Data Scientist_24,Data Scientist,Female,30,Master's,5,5,"$10,376.39"
Data Scientist_45,Data Scientist,Female,30,Master's,1,1,"$10,339.43"
Data Scientist_20,Data Scientist,Male,25,Diploma,4,3,"$10,074.30"
Data Scientist_42,Data Scientist,Female,27,Master's,2,0,"$10,053.97"
Data Scientist_37,Data Scientist,Male,27,Bachelor's,5,3,"$10,003.73"
Data Scientist_1,Data Scientist,Male,30,Diploma,5,5,"$9,997.46"
Data Scientist_26,Data Scientist,Female,27,Bachelor's,5,0,"$9,901.36"
Software Engineer_29,Software Engineer,Male,29,Master's,5,5,"$9,877.74"
Data Scientist_43,Data Scientist,Female,23,Bachelor's,1,0,"$9,868.14"
Data Scientist_40,Data Scientist,Male,25,Bachelor's,2,0,"$9,785.56"
Data Scientist_46,Data Scientist,Male,26,Bachelor's,3,2,"$9,722.45"
Data Scientist_17,Data Scientist,Male,23,Bachelor's,1,0,"$9,681.54"
Data Scientist_21,Data Scientist,Female,24,Bachelor's,2,2,"$9,643.85"
Software Engineer_90,Software Engineer,Male,30,Bachelor's,4,4,"$9,524.48"
Data Scientist_9,Data Scientist,Female,28,Master's,4,0,"$9,437.09"
Data Scientist_8,Data Scientist,Male,27,Master's,3,2,"$9,422.14"
Data Scientist_29,Data Scientist,Female,27,Bachelor's,0,0,"$9,406.17"
Data Scientist_16,Data Scientist,Female,27,Bachelor's,5,0,"$9,399.79"
Data Scientist_10,Data Scientist,Female,27,Bachelor's,1,1,"$9,344.22"
Data Scientist_15,Data Scientist,Male,26,Bachelor's,0,0,"$9,334.84"
Data Scientist_33,Data Scientist,Female,30,Bachelor's,4,3,"$9,312.13"
Data Scientist_3,Data Scientist,Female,28,Diploma,5,5,"$9,259.42"
Data Scientist_25,Data Scientist,Male,30,Bachelor's,3,3,"$9,258.05"
Data Scientist_34,Data Scientist,Female,28,Diploma,4,4,"$9,255.74"
Software Engineer_26,Software Engineer,Male,30,Diploma,5,5,"$9,237.28"
Data Scientist_12,Data Scientist,Female,25,Diploma,2,1,"$9,218.77"
Data Scientist_38,Data Scientist,Female,28,Bachelor's,0,0,"$9,153.23"
Data Scientist_49,Data Scientist,Female,21,Diploma,1,1,"$9,151.60"
Software Engineer_32,Software Engineer,Male,29,Master's,5,3,"$9,150.94"
Data Scientist_22,Data Scientist,Male,30,Bachelor's,0,0,"$9,096.14"
Software Engineer_5,Software Engineer,Male,29,Bachelor's,5,2,"$9,088.67"
Data Scientist_7,Data Scientist,Male,23,Diploma,0,0,"$9,083.70"
Data Scientist_32,Data Scientist,Male,27,Bachelor's,4,3,"$9,076.06"
Data Scientist_4,Data Scientist,Female,28,Master's,3,3,"$9,041.65"
Software Engineer_70,Software Engineer,Male,30,Bachelor's,5,4,"$9,033.58"
Software Engineer_3,Software Engineer,Female,30,Master's,4,3,"$9,010.79"
Software Engineer_54,Software Engineer,Male,28,Bachelor's,5,5,"$8,993.12"
Product Manager_25,Product Manager,Female,28,Master's,3,2,"$8,978.68"
Data Scientist_41,Data Scientist,Female,27,Diploma,1,0,"$8,965.97"
Data Scientist_2,Data Scientist,Male,27,Bachelor's,1,0,"$8,911.19"
Product Manager_30,Product Manager,Female,28,Bachelor's,4,4,"$8,909.89"
Data Scientist_48,Data Scientist,Female,26,Diploma,1,1,"$8,907.93"
Data Scientist_23,Data Scientist,Male,23,Bachelor's,0,0,"$8,895.65"
Product Manager_29,Product Manager,Male,25,Bachelor's,3,1,"$8,840.51"
Data Scientist_27,Data Scientist,Female,28,Bachelor's,0,0,"$8,833.65"
Software Engineer_86,Software Engineer,Male,29,Diploma,4,1,"$8,814.83"
Data Scientist_39,Data Scientist,Female,28,Diploma,5,1,"$8,814.09"
Software Engineer_75,Software Engineer,Female,25,Bachelor's,2,1,"$8,806.43"
