Employee_ID,Job_Title,Gender,Age,Education_Level,Years_of_Experience,Years_of_Tenure,Salary
Software Engineer_1,Software Engineer,Male,30,Diploma,5,5,"$10,632.84"
Software Engineer_2,Software Engineer,Female,23,Diploma,0,0,"$9,207.34"
Software Engineer_3,Software Engineer,Female,26,Bachelor's,1,1,"$9,940.53"
Software Engineer_4,Software Engineer,Male,25,Bachelor's,1,1,"$9,387.02"
Software Engineer_5,Software Engineer,Female,30,Bachelor's,5,2,"$10,311.44"
Software Engineer_6,Software Engineer,Female,27,Bachelor's,3,3,"$10,345.11"
Software Engineer_7,Software Engineer,Male,28,Bachelor's,5,0,"$11,149.17"
Software Engineer_8,Software Engineer,Male,27,Bachelor's,1,1,"$10,224.17"
Software Engineer_9,Software Engineer,Male,27,Diploma,3,2,"$9,039.28"
Software Engineer_10,Software Engineer,Female,28,Diploma,4,0,"$9,897.03"
Software Engineer_11,Software Engineer,Female,28,Bachelor's,1,1,"$9,596.78"
Software Engineer_12,Software Engineer,Female,26,Bachelor's,4,0,"$10,411.44"
Software Engineer_13,Software Engineer,Female,28,Bachelor's,5,5,"$11,607.08"
Software Engineer_14,Software Engineer,Male,27,Bachelor's,5,0,"$10,125.11"
Software Engineer_15,Software Engineer,Female,30,Bachelor's,0,0,"$9,876.61"
Software Engineer_16,Software Engineer,Male,25,Bachelor's,3,2,"$10,820.30"
Software Engineer_17,Software Engineer,Female,29,Bachelor's,5,2,"$11,327.49"
Software Engineer_18,Software Engineer,Male,29,Diploma,5,4,"$11,059.14"
Software Engineer_19,Software Engineer,Female,28,Diploma,4,3,"$10,261.49"
Software Engineer_20,Software Engineer,Female,28,Diploma,1,0,"$9,623.66"
Software Engineer_21,Software Engineer,Female,26,Diploma,0,0,"$10,143.84"
Software Engineer_22,Software Engineer,Female,30,Bachelor's,0,0,"$9,675.10"
Software Engineer_23,Software Engineer,Male,28,Master's,0,0,"$10,710.68"
Software Engineer_24,Software Engineer,Female,27,Master's,2,0,"$10,901.57"
Software Engineer_25,Software Engineer,Female,25,Bachelor's,2,2,"$10,345.87"
Software Engineer_26,Software Engineer,Female,30,Diploma,2,0,"$10,704.81"
Software Engineer_27,Software Engineer,Female,29,Bachelor's,5,1,"$9,553.42"
Software Engineer_28,Software Engineer,Female,29,Bachelor's,1,1,"$9,255.03"
Software Engineer_29,Software Engineer,Male,30,Master's,0,0,"$9,690.00"
Software Engineer_30,Software Engineer,Female,22,Diploma,1,1,"$9,334.26"
Software Engineer_31,Software Engineer,Female,30,Bachelor's,1,1,"$10,105.51"
Software Engineer_32,Software Engineer,Female,28,Bachelor's,5,3,"$10,186.27"
Software Engineer_33,Software Engineer,Female,29,Diploma,3,0,"$9,195.96"
Software Engineer_34,Software Engineer,Male,26,Bachelor's,2,2,"$9,428.87"
Software Engineer_35,Software Engineer,Male,27,Bachelor's,5,4,"$11,515.17"
