Employee_ID,Job_Title,Gender,Age,Education_Level,Years_of_Experience,Years_of_Tenure,Salary,Company
Software Engineer_361,Software Engineer,Male,25,Bachelor's,1.5,1,"$8,674.41",GovTech
Software Engineer_362,Software Engineer,Male,25,Diploma,0.5,0,"$6,912.07",GovTech
Software Engineer_363,Software Engineer,Male,27,Bachelor's,3.5,2,"$9,450.00",GovTech
Software Engineer_364,Software Engineer,Female,28,Bachelor's,4.0,2,"$9,450.00",GovTech
Software Engineer_365,Software Engineer,Female,24,Bachelor's,2.0,2,"$9,062.28",GovTech
Software Engineer_366,Software Engineer,Female,29,Diploma,4.0,2,"$8,223.95",GovTech
Software Engineer_367,Software Engineer,Female,24,Bachelor's,1.0,1,"$7,367.90",GovTech
Software Engineer_368,Software Engineer,Female,23,Diploma,2.0,1,"$6,086.15",GovTech
Software Engineer_369,Software Engineer,Female,21,Bachelor's,0.0,0,"$7,520.96",GovTech
Software Engineer_370,Software Engineer,Male,24,Bachelor's,1.5,1,"$9,450.00",GovTech
Software Engineer_371,Software Engineer,Female,25,Bachelor's,2.0,0,"$8,715.74",GovTech
Software Engineer_372,Software Engineer,Male,24,Bachelor's,1.5,1,"$9,269.33",GovTech
Software Engineer_373,Software Engineer,Male,27,Bachelor's,2.5,0,"$9,450.00",GovTech
Software Engineer_374,Software Engineer,Female,28,Diploma,4.0,0,"$8,324.46",GovTech
Software Engineer_375,Software Engineer,Male,27,Diploma,3.5,1,"$8,847.71",GovTech
Software Engineer_376,Software Engineer,Female,25,Bachelor's,3.0,2,"$8,429.87",GovTech
Software Engineer_377,Software Engineer,Male,23,Bachelor's,0.5,0,"$8,960.55",GovTech
Software Engineer_378,Software Engineer,Male,24,Bachelor's,1.5,1,"$9,450.00",GovTech
Software Engineer_379,Software Engineer,Female,21,Bachelor's,0.0,0,"$7,131.74",GovTech
Software Engineer_380,Software Engineer,Female,23,Bachelor's,0.0,0,"$7,552.62",GovTech
Software Engineer_381,Software Engineer,Female,25,Bachelor's,4.0,1,"$9,289.35",GovTech
Software Engineer_382,Software Engineer,Female,25,Diploma,3.0,2,"$7,919.23",GovTech
Software Engineer_383,Software Engineer,Male,25,Bachelor's,1.5,1,"$9,450.00",GovTech
Software Engineer_384,Software Engineer,Male,26,Bachelor's,1.5,0,"$9,450.00",GovTech
Software Engineer_385,Software Engineer,Male,24,Bachelor's,0.5,0,"$8,970.36",GovTech
Software Engineer_386,Software Engineer,Female,27,Diploma,4.0,1,"$7,419.33",GovTech
