Employee_ID,Job_Title,Gender,Age,Education_Level,Years_of_Experience,Years_of_Tenure,Salary,Company
Software Engineer_181,Software Engineer,Female,24,Bachelor's,3.0,2,"$11,340.85",Tiktok
Software Engineer_182,Software Engineer,Male,25,Bachelor's,0.5,0,"$12,600.00",Tiktok
Software Engineer_183,Software Engineer,Male,23,Bachelor's,0.5,0,"$12,600.00",Tiktok
Software Engineer_184,Software Engineer,Male,29,Bachelor's,4.0,0,"$12,600.00",Tiktok
Software Engineer_185,Software Engineer,Female,24,Diploma,1.0,0,"$8,980.18",Tiktok
Software Engineer_186,Software Engineer,Female,29,Diploma,4.0,1,"$10,851.95",Tiktok
Software Engineer_187,Software Engineer,Male,28,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_188,Software Engineer,Female,29,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_189,Software Engineer,Female,26,Bachelor's,4.0,1,"$12,600.00",Tiktok
Software Engineer_190,Software Engineer,Male,28,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_191,Software Engineer,Female,27,Bachelor's,4.0,2,"$12,486.50",Tiktok
Software Engineer_192,Software Engineer,Female,26,Bachelor's,4.0,2,"$12,148.01",Tiktok
Software Engineer_193,Software Engineer,Female,24,Bachelor's,3.0,0,"$11,815.95",Tiktok
Software Engineer_194,Software Engineer,Female,25,Bachelor's,2.0,1,"$11,174.83",Tiktok
Software Engineer_195,Software Engineer,Male,26,Bachelor's,2.5,1,"$12,600.00",Tiktok
Software Engineer_196,Software Engineer,Male,29,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_197,Software Engineer,Male,23,Bachelor's,0.5,0,"$11,655.65",Tiktok
Software Engineer_198,Software Engineer,Male,29,Bachelor's,4.0,0,"$12,600.00",Tiktok
Software Engineer_199,Software Engineer,Male,28,Bachelor's,3.5,2,"$12,600.00",Tiktok
Software Engineer_200,Software Engineer,Male,29,Diploma,4.0,1,"$12,451.59",Tiktok
Software Engineer_201,Software Engineer,Male,28,Diploma,4.0,2,"$12,137.59",Tiktok
Software Engineer_202,Software Engineer,Male,27,Diploma,4.0,2,"$12,386.68",Tiktok
Software Engineer_203,Software Engineer,Female,29,Bachelor's,4.0,0,"$12,600.00",Tiktok
Software Engineer_204,Software Engineer,Male,28,Bachelor's,3.5,2,"$12,600.00",Tiktok
Software Engineer_205,Software Engineer,Female,29,Diploma,4.0,1,"$10,633.22",Tiktok
Software Engineer_206,Software Engineer,Female,23,Bachelor's,0.0,0,"$11,461.36",Tiktok
Software Engineer_207,Software Engineer,Female,21,Bachelor's,0.0,0,"$10,452.66",Tiktok
Software Engineer_208,Software Engineer,Male,24,Bachelor's,1.5,1,"$12,290.70",Tiktok
Software Engineer_209,Software Engineer,Female,23,Bachelor's,0.0,0,"$10,632.18",Tiktok
Software Engineer_210,Software Engineer,Female,22,Diploma,0.0,0,"$8,342.74",Tiktok
Software Engineer_211,Software Engineer,Male,27,Master's,2.5,2,"$12,600.00",Tiktok
Software Engineer_212,Software Engineer,Male,27,Bachelor's,3.5,2,"$12,600.00",Tiktok
Software Engineer_213,Software Engineer,Female,26,Diploma,3.0,2,"$10,159.87",Tiktok
Software Engineer_214,Software Engineer,Female,22,Master's,0.0,0,"$12,600.00",Tiktok
Software Engineer_215,Software Engineer,Male,23,Diploma,0.5,0,"$9,531.19",Tiktok
Software Engineer_216,Software Engineer,Female,23,Master's,1.0,0,"$12,600.00",Tiktok
Software Engineer_217,Software Engineer,Male,27,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_218,Software Engineer,Female,24,Bachelor's,3.0,2,"$12,600.00",Tiktok
Software Engineer_219,Software Engineer,Female,29,Bachelor's,4.0,0,"$11,983.46",Tiktok
Software Engineer_220,Software Engineer,Female,25,Master's,2.0,1,"$12,600.00",Tiktok
Software Engineer_221,Software Engineer,Female,27,Bachelor's,4.0,1,"$12,600.00",Tiktok
Software Engineer_222,Software Engineer,Male,24,Bachelor's,1.5,1,"$12,600.00",Tiktok
Software Engineer_223,Software Engineer,Female,25,Bachelor's,2.0,1,"$11,601.31",Tiktok
Software Engineer_224,Software Engineer,Male,29,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_225,Software Engineer,Female,27,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_226,Software Engineer,Male,25,Master's,1.5,1,"$12,600.00",Tiktok
Software Engineer_227,Software Engineer,Male,24,Bachelor's,1.5,0,"$12,600.00",Tiktok
Software Engineer_228,Software Engineer,Female,24,Bachelor's,2.0,2,"$12,413.30",Tiktok
Software Engineer_229,Software Engineer,Female,27,Bachelor's,4.0,1,"$12,600.00",Tiktok
Software Engineer_230,Software Engineer,Male,24,Diploma,0.5,0,"$9,186.09",Tiktok
Software Engineer_231,Software Engineer,Female,21,Bachelor's,0.0,0,"$9,799.94",Tiktok
Software Engineer_232,Software Engineer,Male,24,Bachelor's,0.5,0,"$12,080.12",Tiktok
Software Engineer_233,Software Engineer,Female,27,Bachelor's,4.0,0,"$12,600.00",Tiktok
Software Engineer_234,Software Engineer,Female,29,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_235,Software Engineer,Male,23,Bachelor's,0.5,0,"$11,043.52",Tiktok
Software Engineer_236,Software Engineer,Male,26,Bachelor's,3.5,2,"$12,600.00",Tiktok
Software Engineer_237,Software Engineer,Male,29,Bachelor's,4.0,2,"$12,600.00",Tiktok
Software Engineer_238,Software Engineer,Male,29,Diploma,4.0,2,"$12,520.65",Tiktok
Software Engineer_239,Software Engineer,Male,29,Diploma,4.0,2,"$11,618.84",Tiktok
Software Engineer_240,Software Engineer,Female,25,Diploma,3.0,2,"$10,313.12",Tiktok
Software Engineer_241,Software Engineer,Male,29,Diploma,4.0,2,"$12,188.47",Tiktok
Software Engineer_242,Software Engineer,Female,29,Bachelor's,4.0,2,"$12,600.00",Tiktok
